Sample,Country,Formation,Section,Elevation (m),Period,Age,CIA,WIP,CIAcorr.,References,Shuiyuguan section,Dalongkou section
DLK-14-1,Xinjiang,Guodikeng,Dalongkou section,-25.19,Late Permian,Changhsingian,70,44,73,"Xu et al., 2023",,-25.19
DLK-13-2,Xinjiang,Guodikeng,Dalongkou section,-27.08,Late Permian,Changhsingian,68,45,73,"Xu et al., 2023",,-27.08
DLK-13-1,Xinjiang,Guodikeng,Dalongkou section,-29.1,Late Permian,Changhsingian,65,50,70,"Xu et al., 2023",,-29.1
DLK-12-2,Xinjiang,Guodikeng,Dalongkou section,-30.73,Late Permian,Changhsingian,64,49,68,"Xu et al., 2023",,-30.73
DLK-12-1,Xinjiang,Guodikeng,Dalongkou section,-32.53,Late Permian,Changhsingian,65,44,70,"Xu et al., 2023",,-32.53
DLK-11-2,Xinjiang,Guodikeng,Dalongkou section,-34.09,Late Permian,Changhsingian,72,42,79,"Xu et al., 2023",,-34.09
DLK-11-1,Xinjiang,Guodikeng,Dalongkou section,-35.69,Late Permian,Changhsingian,72,41,81,"Xu et al., 2023",,-35.69
DLK-10-1,Xinjiang,Guodikeng,Dalongkou section,-37,Late Permian,Changhsingian,71,45,75,"Xu et al., 2023",,-37
DLK-8-1,Xinjiang,Guodikeng,Dalongkou section,-40.8,Late Permian,Changhsingian,65,47,67,"Xu et al., 2023",,-40.8
DLK-7-3,Xinjiang,Guodikeng,Dalongkou section,-42,Late Permian,Changhsingian,64,47,66,"Xu et al., 2023",,-42
DLK-7-2,Xinjiang,Guodikeng,Dalongkou section,-44,Late Permian,Changhsingian,70,39,76,"Xu et al., 2023",,-44
DLK-7-1,Xinjiang,Guodikeng,Dalongkou section,-46,Late Permian,Changhsingian,73,40,81,"Xu et al., 2023",,-46
XJDN-P3w 2,Xinjiang,Wutonggou,Dalongkou section,-72,Late Permian,Wuchiapingian,79,35,84,"Xu et al., 2023",,-72
XJDN-P3w 3,Xinjiang,Wutonggou,Dalongkou section,-75,Late Permian,Wuchiapingian,76,35,82,"Xu et al., 2023",,-75
XJDN-P3w 4,Xinjiang,Wutonggou,Dalongkou section,-78,Late Permian,Wuchiapingian,69,46,74,"Xu et al., 2023",,-78
XJDN-WTG-0,Xinjiang,Wutonggou,Dalongkou section,-101,Late Permian,Wuchiapingian,71,43,75,"Xu et al., 2023",,-101
XJDN-WTG-1,Xinjiang,Wutonggou,Dalongkou section,-131,Late Permian,Wuchiapingian,77,34,82,"Xu et al., 2023",,-131
XJDN-WTG-2,Xinjiang,Wutonggou,Dalongkou section,-151,Late Permian,Wuchiapingian,78,35,83,"Xu et al., 2023",,-151
XJDN-WTG-3,Xinjiang,Wutonggou,Dalongkou section,-191,Late Permian,Wuchiapingian,74,39,79,"Xu et al., 2023",,-191
