Location,Sample No.,Period,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr ,Reference,"Song et al., 2015",
"Koscielna, Wegliniec",ez 10,Permian,Late Permian ,Zechstein 1,259.2,,,0.7071,"Korte et al., 2006",0.7071,
Zeche Beeckerwerth II,ez 9,Permian,Late Permian ,Zechstein 1,259.2,,,0.707093,"Korte et al., 2006",0.707093,
Grodziec,ez 17,Permian,Late Permian ,Zechstein 1,259.2,,,0.70707,"Korte et al., 2006",0.70707,
Schuchardt quary,ez 32,Permian,Late Permian ,Zechstein 1,259.2,,,0.707047,"Korte et al., 2006",0.707047,
Gerlach quary,ez 19,Permian,Late Permian ,Zechstein 1,259.2,,,0.707046,"Korte et al., 2006",0.707046,
Gerlach quary,ez 3,Permian,Late Permian ,Zechstein 1,259.2,,,0.707046,"Korte et al., 2006",0.707046,
Schuchardt quary,ez 33,Permian,Late Permian ,Zechstein 1,259.2,,,0.707044,"Korte et al., 2006",0.707044,
Schuchardt quary,ez 30,Permian,Late Permian ,Zechstein 1,259.2,,,0.70703,"Korte et al., 2006",0.70703,
Iwiny Grube Konrad,ez 6,Permian,Late Permian ,Zechstein 1,259.2,,,0.707017,"Korte et al., 2006",0.707017,
Schalhof,ez 25,Permian,Late Permian ,Zechstein 1,259.2,,,0.707008,"Korte et al., 2006",0.707008,
"Koscielna, Wegliniec",ez 8,Permian,Late Permian ,Zechstein 1,259.2,,,0.706999,"Korte et al., 2006",0.706999,
Budinger Tunnel,ez 2,Permian,Late Permian ,Zechstein 1,259.2,,,0.706983,"Korte et al., 2006",0.706983,
Zeche Beeckerwerth II,ez 1,Permian,Late Permian ,Zechstein 1,259.2,,,0.706974,"Korte et al., 2006",0.706974,
Jolfa,J B-1,Permian,Late Permian ,Dzhulfian,257.74,,Clarkina leveni,0.706923,"Korte et al., 2006",0.706923,
Jolfa,J B-2,Permian,Late Permian ,Dzhulfian,257.41,,Clarkina leveni,0.70697,"Korte et al., 2006",0.70697,
Jolfa,J B-5,Permian,Late Permian ,Dzhulfian,257.04,,Clarkina leveni,0.70701,"Korte et al., 2006",0.70701,
Jolfa,J 37,Permian,Late Permian ,Dzhulfian,256.82,,Clarkina leveni,0.707006,"Korte et al., 2006",0.707006,
